title,author,release_date,length,day,month,year,release_year,length_mins,year_group
Kasturi Kundal Basai,Written by: OSHO,Release Date: 26-05-17,15 hrs,26,05,17,2017,900,2016-2020
Andheri Raat [Dark Night],Written by: Surender Mohan Pathak,Release Date: 23-05-24,7 hrs and 29 mins,23,05,24,2024,449,2021-2025
Satyayoddha Kalki: Eye of Brahma (Hindi Edition),Written by: Kevin Missal,Release Date: 28-10-24,13 hrs and 42 mins,28,10,24,2024,822,2021-2025
Lost and Found,Written by: Stuti Changle,Release Date: 28-02-23,2 hrs and 53 mins,28,02,23,2023,173,2021-2025
Fooled by Randomness,Written by: Nassim Nicholas Taleb,Release Date: 07-01-08,10 hrs and 3 mins,07,01,08,2008,603,2006-2010
Rise of Empire [Dramatized Adaptation],Written by: Michael J. Sullivan,Release Date: 03-01-22,20 hrs and 25 mins,03,01,22,2022,1225,2021-2025
Saat Chiranjeevi (Hindi Edition),Written by: Ramesh Soni,Release Date: 03-10-24,2 hrs and 47 mins,03,10,24,2024,167,2021-2025
Dhan ko Akarshit Kaise Kare [How to Attract Money],Written by: Dr. Joseph Murphy,Release Date: 26-02-19,2 hrs and 8 mins,26,02,19,2019,128,2016-2020
The Royal Assignment,"Written by: Terence Gray, Erin Day, Ian Thake",Release Date: 04-11-21,4 hrs and 33 mins,04,11,21,2021,273,2021-2025
Shatranj Ke Khiladi Aur Anya Kahaniyaan [Chess Players and Other Stories],Written by: Premchand,Release Date: 14-10-21,8 hrs and 38 mins,14,10,21,2021,518,2021-2025
The Big Questions of Life,Written by: Om Swami,Release Date: 29-10-24,4 hrs and 49 mins,29,10,24,2024,289,2021-2025
WordMaster,Written by: Denis Waitley,Release Date: 14-10-14,10 hrs and 21 mins,14,10,14,2014,621,2011-2015
Why Is Sex Fun?,Written by: Jared Diamond,Release Date: 20-06-18,5 hrs and 17 mins,20,06,18,2018,317,2016-2020
P. G. Wodehouse Volume 2,Written by: P. G. Wodehouse,Release Date: 08-07-21,45 hrs and 27 mins,08,07,21,2021,2727,2021-2025
Anna Karenina,Written by: Leo Tolstoy,Release Date: 12-07-16,35 hrs and 35 mins,12,07,16,2016,2135,2016-2020
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Written by: Dr. Joseph Murphy,Release Date: 14-02-19,8 hrs and 37 mins,14,02,19,2019,517,2016-2020
Love at First Psych,Written by: Cara Bastone,Release Date: 02-03-23,4 hrs and 35 mins,02,03,23,2023,275,2021-2025
The Search,Written by: Osho,Release Date: 28-12-15,13 hrs and 43 mins,28,12,15,2015,823,2011-2015
Treasure Island,"Written by: Robert Louis Stevenson, Marty Ross - adaptation",Release Date: 17-08-17,6 hrs and 23 mins,17,08,17,2017,383,2016-2020
Sochiye Aur Ameer Baniye [Think and Be Rich],Written by: Napoleon Hill,Release Date: 09-01-19,11 hrs and 10 mins,09,01,19,2019,670,2016-2020
The Alexander Secret,Written by: Christopher C. Doyle,Release Date: 01-01-17,10 hrs and 30 mins,01,01,17,2017,630,2016-2020
Business Sutra,Written by: Devdutt Pattanaik,Release Date: 01-01-17,11 hrs and 26 mins,01,01,17,2017,686,2016-2020
Peevat Ram Ras Lagi Khumari,Written by: OSHO,Release Date: 26-05-17,13 hrs and 32 mins,26,05,17,2017,812,2016-2020
H.G. Wells: The Science Fiction Collection,Written by: H. G. Wells,Release Date: 11-04-19,27 hrs and 15 mins,11,04,19,2019,1635,2016-2020
Complete Spanish Step-by-Step,Written by: Barbara Bregstein,Release Date: 22-10-21,59 hrs,22,10,21,2021,3540,2021-2025
Tigers for Dinner,Written by: Ruskin Bond,Release Date: 01-01-17,39 mins,01,01,17,2017,39,2016-2020
Arabian Nights: Volume 1,Written by: Marty Ross,Release Date: 15-05-18,8 hrs and 20 mins,15,05,18,2018,500,2016-2020
The Time Traveler's Wife,Written by: Audrey Niffenegger,Release Date: 08-05-06,17 hrs and 38 mins,08,05,06,2006,1058,2006-2010
Dogs of War,Written by: Frederick Forsyth,Release Date: 02-06-11,13 hrs and 39 mins,02,06,11,2011,819,2011-2015
Wisdom of the Gods for You and Me,Written by: Devdutt Pattanaik,Release Date: 14-10-19,10 hrs and 14 mins,14,10,19,2019,614,2016-2020
Art of War,Written by: Sun Tzu,Release Date: 26-10-21,1 hr and 44 mins,26,10,21,2021,104,2021-2025
No Excuses!,Written by: Brian Tracy,Release Date: 27-12-09,6 hrs and 51 mins,27,12,09,2009,411,2006-2010
Annihilation of Caste (Marathi Edition),Written by: B. R. Ambedkar,Release Date: 26-09-23,3 hrs and 36 mins,26,09,23,2023,216,2021-2025
"HBR's 10 Must Reads on Managing Yourself, Vol. 2",Written by: Harvard Business Review,Release Date: 23-03-21,4 hrs and 57 mins,23,03,21,2021,297,2021-2025
Ramayana Versus Mahabharata,Written by: Devdutt Pattanaik,Release Date: 19-11-19,5 hrs and 13 mins,19,11,19,2019,313,2016-2020
Justice Jaganathan (Tamil Edition),Written by: Devan,Release Date: 23-03-23,13 hrs and 44 mins,23,03,23,2023,824,2021-2025
Panchatantra (Telugu Edition),Written by: Vinumaree,Release Date: 31-03-22,7 hrs and 22 mins,31,03,22,2022,442,2021-2025
Banaras Talkies (Hindi Edition),Written by: Satya Vyas,Release Date: 29-10-18,6 hrs,29,10,18,2018,360,2016-2020
Sense and Sensibility,Written by: Jane Austen,Release Date: 14-08-18,11 hrs and 25 mins,14,08,18,2018,685,2016-2020
Everyday Gita,Written by: Sunita Pant Bansal,Release Date: 07-02-23,9 hrs and 38 mins,07,02,23,2023,578,2021-2025
The Accidental Dating Experiment,Written by: Lauren Blakely,Release Date: 11-04-24,6 hrs and 55 mins,11,04,24,2024,415,2021-2025
The Tea Girl of Hummingbird Lane,Written by: Lisa See,Release Date: 21-03-17,14 hrs and 7 mins,21,03,17,2017,847,2016-2020
Secrets on the Fens,Written by: Joy Ellis,Release Date: 04-05-21,10 hrs and 58 mins,04,05,21,2021,658,2021-2025
Elantris (Dramatized Adaptation),Written by: Brandon Sanderson,Release Date: 11-08-21,18 hrs and 35 mins,11,08,21,2021,1115,2021-2025
To All the Boys I've Loved Before,Written by: Jenny Han,Release Date: 14-01-20,8 hrs and 44 mins,14,01,20,2020,524,2016-2020
The Reckoning (Part 2 of 2) (Dramatized Adaptation),"Written by: Susanne Valenti, Caroline Peckham",Release Date: 18-03-25,7 hrs and 29 mins,18,03,25,2025,449,2021-2025
Maps of Meaning,Written by: Jordan B. Peterson,Release Date: 12-06-18,30 hrs and 52 mins,12,06,18,2018,1852,2016-2020
The Book of Wisdom,Written by: Osho,Release Date: 14-12-15,47 hrs and 6 mins,14,12,15,2015,2826,2011-2015
The Devil's Alternative,Written by: Frederick Forsyth,Release Date: 20-01-13,16 hrs and 14 mins,20,01,13,2013,974,2011-2015
Deep Nutrition,"Written by: Catherine Shanahan M.D., Luke Shanahan",Release Date: 03-01-17,19 hrs and 42 mins,03,01,17,2017,1182,2016-2020
Stree 360 Degrees,Written by: Devdutt Pattanaik,Release Date: 25-04-24,4 hrs and 19 mins,25,04,24,2024,259,2021-2025
Painted Scars,Written by: Neva Altaj,Release Date: 02-05-23,6 hrs and 25 mins,02,05,23,2023,385,2021-2025
Whispering in the Dark,Written by: Ruskin Bond,Release Date: 11-12-18,6 hrs and 6 mins,11,12,18,2018,366,2016-2020
Devi Bhagwat Puran,Written by: Dr. Vinay,Release Date: 19-07-21,7 hrs and 13 mins,19,07,21,2021,433,2021-2025
Orwell Collection,Written by: George Orwell,Release Date: 12-01-21,16 hrs and 18 mins,12,01,21,2021,978,2021-2025
"If This Isn't Nice, What Is?",Written by: Kurt Vonnegut,Release Date: 07-05-13,2 hrs and 23 mins,07,05,13,2013,143,2011-2015
The Essence of the Bhagavad Gita,Written by: Swami Kriyananda,Release Date: 04-05-07,19 hrs and 47 mins,04,05,07,2007,1187,2006-2010
Theft of Swords [Dramatized Adaptation],Written by: Michael J. Sullivan,Release Date: 08-01-22,16 hrs and 59 mins,08,01,22,2022,1019,2021-2025
Ikigai (Marathi Edition),"Written by: Hector Garcia, Fransesc Miralles, Prasad Dhapre - translator",Release Date: 10-01-23,4 hrs and 8 mins,10,01,23,2023,248,2021-2025
Who Will Cry When You Die? (Hindi),Written by: Robin Sharma,Release Date: 20-02-18,5 hrs and 9 mins,20,02,18,2018,309,2016-2020
Telepsychics (Hindi Edition),Written by: Joseph Murphy,Release Date: 19-07-19,8 hrs and 17 mins,19,07,19,2019,497,2016-2020
Love Story of The Mafia King (Hindi Edition),Written by: Early Bird,Release Date: 19-11-24,14 hrs and 8 mins,19,11,24,2024,848,2021-2025
400 Days,Written by: Chetan Bhagat,Release Date: 29-08-24,9 hrs and 59 mins,29,08,24,2024,599,2021-2025
A New History of India: From Its Origins to the Twenty-First Century,"Written by: Toby Sinclair, Shobita Punja, Rudrangsh Mukherjee",Release Date: 21-05-24,9 hrs and 47 mins,21,05,24,2024,587,2021-2025
Maybe This Time,Written by: Cara Bastone,Release Date: 02-05-24,5 hrs and 45 mins,02,05,24,2024,345,2021-2025
Bajind (Marathi Edition),Written by: Pai. Ganesh Maangude,Release Date: 26-02-25,5 hrs and 39 mins,26,02,25,2025,339,2021-2025
Twisted Games,Written by: Ana Huang,Release Date: 28-06-22,13 hrs and 14 mins,28,06,22,2022,794,2021-2025
The Adventures of Tom Sawyer,Written by: Mark Twain,Release Date: 20-09-16,7 hrs and 52 mins,20,09,16,2016,472,2016-2020
Baat Paise Ki,"Written by: Monika Halan, Mridula Halan",Release Date: 28-06-23,6 hrs and 48 mins,28,06,23,2023,408,2021-2025
Jeevan Ek Ghorakh Dhanda Hai [Life Is a Tough Business],Written by: Om Swami,Release Date: 06-05-24,5 hrs and 42 mins,06,05,24,2024,342,2021-2025
Forbidden Desires,Written by: Madhuri Banerjee,Release Date: 01-01-17,7 hrs and 53 mins,01,01,17,2017,473,2016-2020
The Emperor's Soul [Dramatized Adaptation],Written by: Brandon Sanderson,Release Date: 07-10-20,3 hrs and 31 mins,07,10,20,2020,211,2016-2020
The Buddha Said,Written by: Osho,Release Date: 28-07-16,35 hrs and 57 mins,28,07,16,2016,2157,2016-2020
No More Mr. Nice Guy,Written by: Dr Robert Glover,Release Date: 21-12-17,6 hrs and 49 mins,21,12,17,2017,409,2016-2020
Ghost Stories of Shimla Hills,Written by: Minakshi Chaudhry,Release Date: 01-01-17,3 hrs and 31 mins,01,01,17,2017,211,2016-2020
Kurma Puran (Hindi Edition),Written by: Dr. Vinay,Release Date: 19-07-21,6 hrs,19,07,21,2021,360,2021-2025
Being Different,Written by: Rajiv Malhotra,Release Date: 13-06-18,17 hrs and 31 mins,13,06,18,2018,1051,2016-2020
The Fish in the Sea Is Not Thirsty,Written by: Osho,Release Date: 30-11-17,26 hrs and 4 mins,30,11,17,2017,1564,2016-2020
Essential CISSP Exam Guide: Updated for the 2018 CISSP Body of Knowledge,Written by: Phil Martin,Release Date: 17-10-18,17 hrs,17,10,18,2018,1020,2016-2020
Tales of Fosterganj,Written by: Ruskin Bond,Release Date: 01-01-17,3 hrs and 11 mins,01,01,17,2017,191,2016-2020
The Ragpicker King,Written by: Cassandra Clare,Release Date: 04-03-25,21 hrs and 9 mins,04,03,25,2025,1269,2021-2025
Swami Vivekananda,Written by: Gautam Ghosh,Release Date: 01-11-18,6 hrs and 52 mins,01,11,18,2018,412,2016-2020
Seatmate,Written by: Cara Bastone,Release Date: 24-03-22,5 hrs and 10 mins,24,03,22,2022,310,2021-2025
Shyamchi Aai (Marathi Edition),Written by: Sane Guruji,Release Date: 06-12-24,9 hrs and 6 mins,06,12,24,2024,546,2021-2025
The Complete Infidel's Guide to the Koran,Written by: Robert Spencer,Release Date: 30-11-09,7 hrs and 56 mins,30,11,09,2009,476,2006-2010
Aavarana,"Written by: Sandeep Balakrishna - translator, S. L. Bhyrappa",Release Date: 01-01-17,14 hrs and 20 mins,01,01,17,2017,860,2016-2020
Karma Bhoomi [Land of Work],Written by: Premchand,Release Date: 15-06-22,12 hrs and 52 mins,15,06,22,2022,772,2021-2025
The Mysterious Affair at Styles,"Written by: Agatha Christie, Anna Lea - adaptation",Release Date: 14-11-24,3 hrs and 53 mins,14,11,24,2024,233,2021-2025
Arabian Nights: Volume 2,Written by: Marty Ross,Release Date: 18-12-18,5 hrs and 43 mins,18,12,18,2018,343,2016-2020
Garbha Sanskar (Hindi Edition),Written by: A Happy Thoughts Initiative,Release Date: 26-02-25,8 hrs and 38 mins,26,02,25,2025,518,2021-2025
The Path of Love,Written by: Osho,Release Date: 01-03-16,14 hrs and 40 mins,01,03,16,2016,880,2016-2020
Get Organized: Do More in Less Time,"Written by: Ciara Conlon, The Great Courses",Release Date: 21-01-20,4 hrs and 45 mins,21,01,20,2020,285,2016-2020
F.U. Money,Written by: Dan Lok,Release Date: 27-12-15,4 hrs and 50 mins,27,12,15,2015,290,2011-2015
Mistletoe Murders 2,Written by: Ken Cuperus,Release Date: 08-11-23,4 hrs and 30 mins,08,11,23,2023,270,2021-2025
Charitra (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 42 mins,01,03,16,2016,102,2016-2020
ColdFusion Presents,Written by: Dagogo Altraide,Release Date: 26-02-19,11 hrs and 38 mins,26,02,19,2019,698,2016-2020
Aghori,Written by: Kevin Missal,Release Date: 12-02-25,8 hrs and 32 mins,12,02,25,2025,512,2021-2025
The Third Eye (Hindi Edition),Written by: T. Lobsang Rampa,Release Date: 12-08-24,11 hrs and 47 mins,12,08,24,2024,707,2021-2025
Everblaze,Written by: Shannon Messenger,Release Date: 06-11-18,14 hrs and 39 mins,06,11,18,2018,879,2016-2020
Everything Is F--ked (Hindi Edition),Written by: Mark Manson,Release Date: 29-09-23,9 hrs and 58 mins,29,09,23,2023,598,2021-2025
Sons of Fortune,Written by: Jeffrey Archer,Release Date: 03-12-21,16 hrs and 9 mins,03,12,21,2021,969,2021-2025
Reaper's Gale,Written by: Steven Erikson,Release Date: 03-01-19,43 hrs and 56 mins,03,01,19,2019,2636,2016-2020
Roohi - Ek Paheli (Hindi Edition),Written by: Manish Shrivastava,Release Date: 18-01-19,7 hrs and 15 mins,18,01,19,2019,435,2016-2020
Artificial Intelligence,"Written by: Harvard Business Review, Thomas H Davenport, Erik Brynjolfsson, Andrew McAfee, H. James Wilson",Release Date: 17-09-19,3 hrs and 31 mins,17,09,19,2019,211,2016-2020
"Behind the Woods, Episode 1-62 (Hindi Edition)","Written by: Astha Jain, Anas Mohammad",Release Date: 25-11-24,20 hrs and 47 mins,25,11,24,2024,1247,2021-2025
Kya Kahate Hain Puran [What Purana Said],"Written by: Mahesh Sharma, P. Bhalla",Release Date: 19-07-21,9 hrs and 25 mins,19,07,21,2021,565,2021-2025
Power of Confidence (Marathi Edition),Written by: Manoj Ambike,Release Date: 10-03-23,4 hrs and 42 mins,10,03,23,2023,282,2021-2025
Endymion,Written by: Dan Simmons,Release Date: 20-01-09,23 hrs and 17 mins,20,01,09,2009,1397,2006-2010
Six Battles for India,Written by: George Bruce,Release Date: 30-06-22,11 hrs and 57 mins,30,06,22,2022,717,2021-2025
A Wizard's Guide to Defensive Baking,Written by: T. Kingfisher,Release Date: 12-10-21,8 hrs and 30 mins,12,10,21,2021,510,2021-2025
Ponniyin Selvan,Written by: Kalki,Release Date: 08-03-23,61 hrs and 52 mins,08,03,23,2023,3712,2021-2025
Best of Faiz (Hindi Edition),Written by: Kuldip Salil,Release Date: 20-01-22,2 hrs and 17 mins,20,01,22,2022,137,2021-2025
The Let Them Theory,Written by: Mel Robbins,Release Date: 24-12-24,10 hrs and 38 mins,24,12,24,2024,638,2021-2025
One Arranged Murder,Written by: Chetan Bhagat,Release Date: 27-09-20,7 hrs and 58 mins,27,09,20,2020,478,2016-2020
Body by Science,"Written by: Doug McGuff MD, John Little",Release Date: 13-08-19,9 hrs and 1 min,13,08,19,2019,541,2016-2020
Impact Winter,Written by: Travis Beacham,Release Date: 17-02-22,4 hrs and 55 mins,17,02,22,2022,295,2021-2025
Rise of Empire,Written by: Michael J. Sullivan,Release Date: 09-05-12,26 hrs and 27 mins,09,05,12,2012,1587,2011-2015
CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),"Written by: Wm. Arthur Conklin, Greg White",Release Date: 30-05-23,30 hrs and 40 mins,30,05,23,2023,1840,2021-2025
The 10X Rule,Written by: Grant Cardone,Release Date: 19-07-11,7 hrs and 24 mins,19,07,11,2011,444,2011-2015
The Storm Before the Storm,Written by: Mike Duncan,Release Date: 24-10-17,10 hrs and 13 mins,24,10,17,2017,613,2016-2020
Kulfi and Cappuccino (Hindi Edition),Written by: Ashish Chaudhary,Release Date: 24-10-18,9 hrs and 32 mins,24,10,18,2018,572,2016-2020
Maine Gandhi Ko Kyon Mara? (Hindi Edition),Written by: Nathuram Godse,Release Date: 02-10-24,7 hrs and 23 mins,02,10,24,2024,443,2021-2025
These Strange New Minds,Written by: Christopher Summerfield,Release Date: 06-03-25,12 hrs and 34 mins,06,03,25,2025,754,2021-2025
The Soul of a New Machine,Written by: Tracy Kidder,Release Date: 17-05-16,9 hrs and 3 mins,17,05,16,2016,543,2016-2020
No Excuses: Existentialism and the Meaning of Life,"Written by: Robert C. Solomon, The Great Courses",Release Date: 08-07-13,12 hrs and 7 mins,08,07,13,2013,727,2011-2015
Sweet Spot,Written by: Stella Rhys,Release Date: 28-11-17,8 hrs and 12 mins,28,11,17,2017,492,2016-2020
Nero,Written by: S.J. Tilly,Release Date: 22-08-23,10 hrs and 38 mins,22,08,23,2023,638,2021-2025
Meri Jeewan Gatha [My Life Story],Written by: R. K. Narayan,Release Date: 17-06-20,7 hrs and 30 mins,17,06,20,2020,450,2016-2020
Do It Now: Overcoming Procrastination,"Written by: Fuschia Sirois, The Great Courses",Release Date: 02-09-21,4 hrs and 11 mins,02,09,21,2021,251,2021-2025
"Harry Potter and the Chamber of Secrets, Book 2",Written by: J.K. Rowling,Release Date: 20-11-15,9 hrs and 43 mins,20,11,15,2015,583,2011-2015
A Million Thoughts,Written by: Om Swami,Release Date: 26-11-24,9 hrs and 12 mins,26,11,24,2024,552,2021-2025
The Graveyard Book,Written by: Neil Gaiman,Release Date: 30-10-08,7 hrs and 43 mins,30,10,08,2008,463,2006-2010
The Little Book of Trading,Written by: Michael Covel,Release Date: 22-09-11,4 hrs and 38 mins,22,09,11,2011,278,2011-2015
Biology: The Science of Life,"Written by: Stephen Nowicki, The Great Courses",Release Date: 08-07-13,36 hrs and 38 mins,08,07,13,2013,2198,2011-2015
The 6 Habits of Growth,Written by: Brendon Burchard,Release Date: 15-09-22,5 hrs and 4 mins,15,09,22,2022,304,2021-2025
The Leadership Sutra,Written by: Devdutt Pattanaik,Release Date: 24-01-17,2 hrs and 39 mins,24,01,17,2017,159,2016-2020
Himalaya,Written by: John Keay,Release Date: 13-10-22,15 hrs and 4 mins,13,10,22,2022,904,2021-2025
Utsav Amar Jati Anand Amar Gotra,Written by: OSHO,Release Date: 26-05-17,17 hrs and 51 mins,26,05,17,2017,1071,2016-2020
"Take Me, Daddy",Written by: Sara Fields,Release Date: 07-11-23,7 hrs and 30 mins,07,11,23,2023,450,2021-2025
Those Who Leave and Those Who Stay,Written by: Elena Ferrante,Release Date: 15-05-15,16 hrs and 43 mins,15,05,15,2015,1003,2011-2015
30 Din Mein Bane Share market Mein Safal Niveshak [Become a Successful Investor in Share Market in 30 Days],Written by: Amol Gandhi,Release Date: 19-07-21,4 hrs,19,07,21,2021,240,2021-2025
The Chekhov Collection of Short Stories,Written by: Anton Chekhov,Release Date: 11-06-20,6 hrs and 50 mins,11,06,20,2020,410,2016-2020
The Magic of Thinking Big (Tamil Edition),Written by: David Schwartz,Release Date: 25-11-22,11 hrs and 58 mins,25,11,22,2022,718,2021-2025
The Ultimate Brian Tracy Library,Written by: Brian Tracy,Release Date: 30-04-18,16 hrs and 23 mins,30,04,18,2018,983,2016-2020
The Mystery of Alice,Written by: Lee Bacon,Release Date: 02-05-19,6 hrs and 24 mins,02,05,19,2019,384,2016-2020
P.G. Wodehouse Volume 1,Written by: P.G. Wodehouse,Release Date: 17-12-20,40 hrs and 37 mins,17,12,20,2020,2437,2016-2020
Knocked Up by the CEO,Written by: Lilian Monroe,Release Date: 29-10-19,5 hrs and 44 mins,29,10,19,2019,344,2016-2020
Beren and Lúthien,"Written by: Christopher Tolkien, J. R. R. Tolkien",Release Date: 30-04-20,6 hrs and 54 mins,30,04,20,2020,414,2016-2020
Vivekananda,Written by: Pranay,Release Date: 22-07-21,3 hrs and 12 mins,22,07,21,2021,192,2021-2025
Psychology for Dummies (3rd Edition),Written by: Adam Cash PsyD,Release Date: 10-11-20,18 hrs and 24 mins,10,11,20,2020,1104,2016-2020
Aahuti [Sacrifice],Written by: Saurabh Kudesia,Release Date: 07-11-24,10 hrs and 47 mins,07,11,24,2024,647,2021-2025
The Turn of the Screw,Written by: Henry James,Release Date: 15-03-16,4 hrs and 40 mins,15,03,16,2016,280,2016-2020
A Murder to Remember,Written by: Brynn Kelly,Release Date: 29-02-24,10 hrs and 3 mins,29,02,24,2024,603,2021-2025
Haunting Adeline (German Edition),Written by: H. D. Carlton,Release Date: 04-03-25,18 hrs and 34 mins,04,03,25,2025,1114,2021-2025
Lokpriya Kahaniyan [Popular Stories],Written by: Subhadra Kumari Chauhan,Release Date: 02-06-23,6 hrs and 39 mins,02,06,23,2023,399,2021-2025
101 Essays That Will Change the Way You Think,Written by: Brianna Wiest,Release Date: 21-08-18,10 hrs and 45 mins,21,08,18,2018,645,2016-2020
Darkness on the Fens,Written by: Joy Ellis,Release Date: 16-09-19,10 hrs and 22 mins,16,09,19,2019,622,2016-2020
